Position Number	# Reads at this Position	#A	%A	#C	%C	#G	%G	#T	%T	#N	%N
94	100000	29931	29.93	19579	19.58	20101	20.10	30142	30.14	247	0.25
95	100000	29416	29.42	19663	19.66	20192	20.19	30497	30.50	232	0.23
96	100000	29659	29.66	19605	19.61	20029	20.03	30448	30.45	259	0.26
97	100000	29511	29.51	19756	19.76	20334	20.33	30261	30.26	138	0.14
98	100000	29581	29.58	19618	19.62	20753	20.75	29977	29.98	71	0.07
99	100000	29612	29.61	19283	19.28	20371	20.37	30706	30.71	28	0.03
100	100000	29784	29.78	19265	19.27	20245	20.25	30706	30.71	0	0.00
101	100000	29848	29.85	19254	19.25	20216	20.22	30682	30.68	0	0.00
102	100000	29655	29.66	19241	19.24	19975	19.98	31129	31.13	0	0.00
103	100000	28096	28.10	18627	18.63	20617	20.62	32660	32.66	0	0.00
